探测器编号 时间 桩号 车速 车牌
D202150120001 2021-04-25T15:16 K31+950 5188 蓝渝F9T719
D202150120001 2021-04-25T15:16 K31+950 4147 蓝渝FE9673
D202150120001 2021-04-25T15:16 K31+950 4394 蓝渝A2790S
D202150120001 2021-04-25T15:16 K31+950 4293 蓝渝DH3230
D202150120001 2021-04-25T15:15 K31+950 3850 蓝渝A1327T
D202150120001 2021-04-25T15:15 K31+950 4229 蓝渝F7U379
D202150120001 2021-04-25T15:15 K31+950 4039 蓝渝AV53B7
D202150120001 2021-04-25T15:15 K31+950 3900 蓝渝F6D611
D202150120001 2021-04-25T15:15 K31+950 5385 蓝渝DDL969
D202150120001 2021-04-25T15:15 K31+950 4435 绿渝AD11243
D202150120001 2021-04-25T15:15 K31+950 5660 蓝渝AZ2W73
D202150120001 2021-04-25T15:15 K31+950 5030 蓝渝A126VV
D202150120001 2021-04-25T15:14 K31+950 4807 蓝渝A68WA9
D202150120001 2021-04-25T15:14 K31+950 4121 蓝渝AG767F
D202150120001 2021-04-25T15:14 K31+950 4251 蓝渝A863T9
D202150120001 2021-04-25T15:14 K31+950 4695 蓝渝F186K6
D202150120001 2021-04-25T15:14 K31+950 3442 蓝渝AY591S
D202150120001 2021-04-25T15:14 K31+950 2203 黄渝FN5638
D202150120001 2021-04-25T15:14 K31+950 4675 蓝渝A963AV
D202150120001 2021-04-25T15:14 K31+950 4849 蓝渝D272W1
D202150120001 2021-04-25T15:14 K31+950 4872 蓝渝AJ70X3
D202150120001 2021-04-25T15:14 K31+950 4243 蓝渝A3L98F
D202150120001 2021-04-25T15:14 K31+950 4784 蓝渝FAQ337
D202150120001 2021-04-25T15:14 K31+950 3499 蓝渝F30R09
D202150120001 2021-04-25T15:14 K31+950 3888 蓝渝FBL727
D202150120001 2021-04-25T15:14 K31+950 4050 蓝渝AQ203M
D202150120001 2021-04-25T15:14 K31+950 3536 蓝渝A1XH82
D202150120001 2021-04-25T15:14 K31+950 5038 NO
D202150120001 2021-04-25T15:14 K31+950 4417 蓝渝D677Y8
D202150120001 2021-04-25T15:13 K31+950 4557 蓝渝FDD356
D202150120001 2021-04-25T15:13 K31+950 4632 蓝渝F526A6
D202150120001 2021-04-25T15:13 K31+950 4468 蓝渝FHT998
D202150120001 2021-04-25T15:13 K31+950 5145 蓝渝F576M8
D202150120001 2021-04-25T15:13 K31+950 4846 蓝渝F76J83
D202150120001 2021-04-25T15:13 K31+950 4304 蓝渝A2XV03
D202150120001 2021-04-25T15:13 K31+950 4367 蓝渝F08288
D202150120001 2021-04-25T15:13 K31+950 3987 蓝渝F32F28
D202150120001 2021-04-25T15:13 K31+950 4466 蓝渝A5DK97
D202150120001 2021-04-25T15:13 K31+950 2124 蓝渝AZ57D9
D202150120001 2021-04-25T15:13 K31+950 4490 蓝渝AF7H73
D202150120001 2021-04-25T15:13 K31+950 3978 蓝渝FBB171
D202150120001 2021-04-25T15:13 K31+950 3418 蓝渝FBB506
D202150120001 2021-04-25T15:12 K31+950 4211 蓝渝F73J27
D202150120001 2021-04-25T15:12 K31+950 4917 蓝渝FJJ657
D202150120001 2021-04-25T15:12 K31+950 5472 蓝渝A979VS
D202150120001 2021-04-25T15:12 K31+950 4597 蓝渝FF3806
D202150120001 2021-04-25T15:12 K31+950 3360 黄渝A09855F
D202150120001 2021-04-25T15:12 K31+950 5503 白渝FB659警
D202150120001 2021-04-25T15:12 K31+950 3907 NO
D202150120001 2021-04-25T15:12 K31+950 4191 蓝渝A9F1H3
D202150120001 2021-04-25T15:12 K31+950 4472 蓝渝D21J97
D202150120001 2021-04-25T15:12 K31+950 4099 蓝渝F006N0
D202150120001 2021-04-25T15:12 K31+950 4702 蓝渝F971L2
D202150120001 2021-04-25T15:12 K31+950 3563 蓝渝AU883J
D202150120001 2021-04-25T15:12 K31+950 4485 蓝蒙GHS570
D202150120001 2021-04-25T15:12 K31+950 4622 蓝渝F5W392
D202150120001 2021-04-25T15:12 K31+950 4985 蓝渝F185N2
D202150120001 2021-04-25T15:12 K31+950 5396 蓝渝FF1638
D202150120001 2021-04-25T15:11 K31+950 5018 蓝渝A2DD38
D202150120001 2021-04-25T15:11 K31+950 5033 NO
D202150120001 2021-04-25T15:11 K31+950 3672 NO
D202150120001 2021-04-25T15:11 K31+950 4343 蓝渝FY1705
D202150120001 2021-04-25T15:11 K31+950 4667 蓝渝FY1705
D202150120001 2021-04-25T15:11 K31+950 5803 白渝F3022警
D202150120001 2021-04-25T15:11 K31+950 5258 蓝渝A5509T
D202150120001 2021-04-25T15:11 K31+950 4190 蓝渝F09U51
D202150120001 2021-04-25T15:11 K31+950 4794 绿川AD93390
D202150120001 2021-04-25T15:11 K31+950 4557 蓝渝F00E22
D202150120001 2021-04-25T15:11 K31+950 5151 蓝渝F07135
D202150120001 2021-04-25T15:11 K31+950 6516 蓝渝AE6K88
D202150120001 2021-04-25T15:11 K31+950 4882 蓝渝F83A15
D202150120001 2021-04-25T15:11 K31+950 4379 蓝渝FPP277
D202150120001 2021-04-25T15:10 K31+950 4998 蓝渝AR1Z29
D202150120001 2021-04-25T15:10 K31+950 4691 蓝渝AD1113
D202150120001 2021-04-25T15:10 K31+950 4744 蓝渝F16K66
D202150120001 2021-04-25T15:10 K31+950 4019 蓝渝DB7228
D202150120001 2021-04-25T15:10 K31+950 4602 蓝渝F5X510
D202150120001 2021-04-25T15:10 K31+950 3897 NO
D202150120001 2021-04-25T15:10 K31+950 5070 蓝渝FPY977
D202150120001 2021-04-25T15:10 K31+950 4626 蓝渝AG737P
D202150120001 2021-04-25T15:10 K31+950 4295 蓝渝DKD165
D202150120001 2021-04-25T15:10 K31+950 5210 蓝渝FHX319
D202150120001 2021-04-25T15:10 K31+950 3865 蓝渝FEY369
D202150120001 2021-04-25T15:10 K31+950 4494 NO
D202150120001 2021-04-25T15:10 K31+950 4528 蓝渝F16K81
D202150120001 2021-04-25T15:10 K31+950 3962 蓝渝F81A87
D202150120001 2021-04-25T15:10 K31+950 4056 蓝川AN5X86
D202150120001 2021-04-25T15:09 K31+950 4975 蓝渝FPA699
D202150120001 2021-04-25T15:09 K31+950 4488 蓝渝F023R5
D202150120001 2021-04-25T15:09 K31+950 3782 蓝渝F76E29
D202150120001 2021-04-25T15:09 K31+950 3362 黄渝A08386D
D202150120001 2021-04-25T15:09 K31+950 2918 蓝渝DGK521
D202150120001 2021-04-25T15:09 K31+950 4961 蓝渝AL388H
D202150120001 2021-04-25T15:09 K31+950 3585 蓝豫D0175B
D202150120001 2021-04-25T15:09 K31+950 3433 NO
D202150120001 2021-04-25T15:09 K31+950 4311 蓝渝BUK878
D202150120001 2021-04-25T15:09 K31+950 3745 黄渝A05136F
D202150120001 2021-04-25T15:09 K31+950 5220 蓝渝AM8C37
D202150120001 2021-04-25T15:08 K31+950 4482 蓝渝F16K28
D202150120001 2021-04-25T15:08 K31+950 4320 蓝渝F306C0
D202150120001 2021-04-25T15:08 K31+950 5016 蓝渝AJ792Q
D202150120001 2021-04-25T15:08 K31+950 3194 蓝渝A036GF
D202150120001 2021-04-25T15:08 K31+950 3715 蓝渝AJ38K9
D202150120001 2021-04-25T15:08 K31+950 4988 蓝渝FJS185
D202150120001 2021-04-25T15:08 K31+950 4128 蓝渝AT0V89
D202150120001 2021-04-25T15:08 K31+950 4301 蓝渝AF263K
D202150120001 2021-04-25T15:08 K31+950 4507 蓝渝F6C616
D202150120001 2021-04-25T15:08 K31+950 5063 蓝渝AQ9P03
D202150120001 2021-04-25T15:08 K31+950 4073 蓝渝A9VC81
D202150120001 2021-04-25T15:08 K31+950 4555 蓝渝DCB420
D202150120001 2021-04-25T15:08 K31+950 4842 蓝浙L10D10
D202150120001 2021-04-25T15:08 K31+950 4939 蓝渝AA9C19
D202150120001 2021-04-25T15:08 K31+950 4624 蓝渝A610HG
D202150120001 2021-04-25T15:08 K31+950 5426 蓝渝AZ82F2
D202150120001 2021-04-25T15:07 K31+950 4762 蓝渝F85A87
D202150120001 2021-04-25T15:07 K31+950 4291 蓝粤C38R99
D202150120001 2021-04-25T15:07 K31+950 5234 蓝渝F670B5
D202150120001 2021-04-25T15:07 K31+950 5857 蓝渝AZ7R37
D202150120001 2021-04-25T15:07 K31+950 3573 黄渝D37219
D202150120001 2021-04-25T15:07 K31+950 4539 蓝渝D0F762
D202150120001 2021-04-25T15:07 K31+950 5603 蓝渝AL3X63
D202150120001 2021-04-25T15:07 K31+950 4751 蓝渝AA10S5
D202150120001 2021-04-25T15:07 K31+950 5469 绿渝AD52983
D202150120001 2021-04-25T15:07 K31+950 4464 蓝渝F8B309
D202150120001 2021-04-25T15:07 K31+950 4994 白渝F2825警
D202150120001 2021-04-25T15:07 K31+950 4487 蓝渝AM1Y05
D202150120001 2021-04-25T15:06 K31+950 3858 蓝渝F1X687
D202150120001 2021-04-25T15:06 K31+950 3820 蓝渝AQ353P
D202150120001 2021-04-25T15:06 K31+950 4293 蓝渝AF95N3
D202150120001 2021-04-25T15:06 K31+950 4735 蓝渝F6G199
D202150120001 2021-04-25T15:06 K31+950 4724 蓝渝A43M16
D202150120001 2021-04-25T15:06 K31+950 4123 蓝渝A307KT
D202150120001 2021-04-25T15:06 K31+950 3745 蓝渝D322M0
D202150120001 2021-04-25T15:06 K31+950 4547 蓝渝F9A235
D202150120001 2021-04-25T15:06 K31+950 5933 蓝渝FV8636
D202150120001 2021-04-25T15:06 K31+950 4618 蓝渝F57Z71
D202150120001 2021-04-25T15:06 K31+950 4732 蓝渝AR17K0
D202150120001 2021-04-25T15:06 K31+950 4518 蓝渝F6W733
D202150120001 2021-04-25T15:06 K31+950 4633 蓝渝AZ901U
D202150120001 2021-04-25T15:06 K31+950 3709 蓝渝F3W712
D202150120001 2021-04-25T15:05 K31+950 4096 蓝宁F9T524
D202150120001 2021-04-25T15:05 K31+950 3285 黄渝D37828
D202150120001 2021-04-25T15:05 K31+950 4343 蓝渝F2L658
D202150120001 2021-04-25T15:05 K31+950 4478 NO
D202150120001 2021-04-25T15:05 K31+950 4270 蓝渝AG30W6
D202150120001 2021-04-25T15:05 K31+950 3777 蓝渝FEE332
D202150120001 2021-04-25T15:05 K31+950 4846 蓝渝F6F795
D202150120001 2021-04-25T15:05 K31+950 4340 蓝渝F781F5
D202150120001 2021-04-25T15:05 K31+950 4578 蓝渝F87J33
D202150120001 2021-04-25T15:05 K31+950 3586 黄渝DR7927
D202150120001 2021-04-25T15:05 K31+950 4574 蓝渝A95UV8
D202150120001 2021-04-25T15:05 K31+950 3891 黄渝A12533F
D202150120001 2021-04-25T15:05 K31+950 4863 蓝渝A611DG
D202150120001 2021-04-25T15:05 K31+950 4324 蓝渝A5BW39
D202150120001 2021-04-25T15:05 K31+950 4766 蓝渝A5BW39
D202150120001 2021-04-25T15:05 K31+950 5127 蓝渝F7E023
D202150120001 2021-04-25T15:05 K31+950 4805 蓝渝AY67Z0
D202150120001 2021-04-25T15:05 K31+950 4835 蓝渝FEV181
D202150120001 2021-04-25T15:04 K31+950 4317 蓝渝FF0038
D202150120001 2021-04-25T15:04 K31+950 4580 蓝渝A37XR3
D202150120001 2021-04-25T15:04 K31+950 4611 蓝渝AN75D7
D202150120001 2021-04-25T15:04 K31+950 3268 蓝渝A6QK13
D202150120001 2021-04-25T15:04 K31+950 4935 蓝渝AT4684
D202150120001 2021-04-25T15:04 K31+950 4307 蓝鄂EBX572
D202150120001 2021-04-25T15:04 K31+950 3334 蓝渝DGV505
D202150120001 2021-04-25T15:04 K31+950 3947 蓝渝F78F52
D202150120001 2021-04-25T15:04 K31+950 4929 蓝渝AS659F
D202150120001 2021-04-25T15:04 K31+950 4176 蓝渝A857HJ
D202150120001 2021-04-25T15:04 K31+950 4805 蓝渝FT1787
D202150120001 2021-04-25T15:04 K31+950 5545 蓝渝F731N8
D202150120001 2021-04-25T15:04 K31+950 4622 蓝渝DJK370
D202150120001 2021-04-25T15:04 K31+950 4200 蓝渝A6C86X
D202150120001 2021-04-25T15:04 K31+950 5101 蓝渝F15K36
D202150120001 2021-04-25T15:04 K31+950 4693 蓝渝AW29Q0
D202150120001 2021-04-25T15:04 K31+950 4711 蓝渝FJP767
D202150120001 2021-04-25T15:04 K31+950 4601 蓝渝DFW369
D202150120001 2021-04-25T15:04 K31+950 3997 蓝渝AJ59L3
D202150120001 2021-04-25T15:04 K31+950 5962 蓝渝D99506
D202150120001 2021-04-25T15:03 K31+950 3938 蓝渝F71G57
D202150120001 2021-04-25T15:03 K31+950 4089 绿渝ADD8175
D202150120001 2021-04-25T15:03 K31+950 1317 蓝渝A391WD
D202150120001 2021-04-25T15:03 K31+950 3751 蓝渝FY8288
D202150120001 2021-04-25T15:03 K31+950 4250 NO
D202150120001 2021-04-25T15:03 K31+950 2006 黄渝AS0365
D202150120001 2021-04-25T15:03 K31+950 3874 蓝渝F187M1
D202150120001 2021-04-25T15:03 K31+950 3961 蓝渝FFC622
D202150120001 2021-04-25T15:03 K31+950 3947 蓝渝DKB653
D202150120001 2021-04-25T15:03 K31+950 3941 蓝渝A8SL31
D202150120001 2021-04-25T15:03 K31+950 3724 蓝渝FKT099
D202150120001 2021-04-25T15:03 K31+950 4257 蓝鄂QF2Z67
D202150120001 2021-04-25T15:03 K31+950 4169 蓝渝F0C616
D202150120001 2021-04-25T15:03 K31+950 4123 蓝川AF245T
D202150120001 2021-04-25T15:03 K31+950 4334 蓝渝DNY919
D202150120001 2021-04-25T15:03 K31+950 4366 蓝鲁D261SW
D202150120001 2021-04-25T15:03 K31+950 5579 蓝渝F68B57
D202150120001 2021-04-25T15:03 K31+950 3724 蓝渝F32B91
